,title,keywords,rating,genres
0,Sole Survivor,"['family', 'development', 'things', 'sense', 'like', 'hope', 'man', 'promises', 'living', 'plane', 'attempt', 'shot', 'begins', 'forced', 'happened', 'full', 'joe', 'seeking', 'turns', 'healing', 'another', 'plan', 'taking', 'weakness', 'large', 'live', 'potential', 'girl', 'getting', 'looking', 'crash', 'strange', 'may', 'tell', 'cope', 'picture', 'kill', 'take', 'safe', 'daughter', 'one', 'dead', 'keeping', 'novel', 'woman', 'really', 'around', 'laboratory', 'daughters', 'story', 'power', 'survivor', 'control', 'smuggled', 'beings', 'life', 'year', 'pictures', 'agents', 'powers', 'rose', 'able', 'number', 'two', 'made', 'lost', 'wife', 'heal']",1,"['Horror','Romance']"
1,Fear Nothing,"['family', 'cottage', 'focuses', 'pet', 'lives', 'animals', 'escapes', 'knowledge', 'wild', 'visit', 'followed', 'food', 'night', 'manhunt', 'strange', 'creature', 'along', 'unknown', 'share', 'calls', 'christopher', 'fear', 'call', 'fort', 'machine', 'race', 'title', 'killed', 'mist', 'friends', 'returning', 'message', 'following', 'years', 'dying', 'found', 'endless', 'led', 'landscape', 'monkey', 'nurse', 'compelled', 'father', 'house', 'player', 'going', 'investigation', 'friend', 'communication', 'terrifying', 'reveals', 'precocious', 'deserted', 'near', 'talent', 'snow', 'lights', 'leaving', 'monkeys', 'mystery', 'another', 'shadowy', 'death', 'taking', 'answering', 'meal', 'hospital', 'advice', 'around', 'town', 'interrupted', 'life', 'mysterious', 'digging', 'legacy', 'hours', 'stops', 'see', 'frost', 'told', 'compound', 'leave', 'conspiracy', 'switched', 'intelligent', 'book', 'military', 'body', 'gun', 'hearing', 'home', 'group', 'first', 'outskirts', 'chased', 'deep', 'people', 'orson', 'mutated', 'alone', 'edge', 'best', 'surfer', 'set', 'funeral', 'roosevelt', 'figure']",5,"['Horror','Romance']"
4,From the Corner of His Eye,"['stories', 'loving', 'late', 'genius', 'woman', 'young', 'book', 'relationship', 'raise', 'begins', 'mother', 'influence', 'dean', 'tale', 'three', 'good']",8.5,"['Horror','Romance']"
5,By the Light of the Moon,"['forever', 'changes', 'lives', 'brother', 'new', 'autistic', 'doctor', 'evil', 'force', 'dylan', 'good']",10,['Horror']
6,The Eiger Sanction,"['works', 'assassin', 'conditions', 'carry', 'attempt', 'lead', 'collector', 'collection', 'someone', 'north', 'back', 'black', 'order', 'one', 'believes', 'training', 'poor', 'jonathan', 'art', 'secret', 'face', 'target', 'group', 'mountain', 'victim', 'climbing', 'first', 'finance', 'lecturer', 'discovery', 'government', 'team', 'difficult', 'couple', 'goes']",3,['Horror']
7,Dr. Futurity,"['humanity', 'pacific', 'hands', 'profession', 'society', 'distant', 'sir', 'previous', 'benefits', 'single', 'colonial', 'african', 'travels', 'pregnant', 'travel', 'back', 'take', 'involuntary', 'directed', 'second', 'controlled', 'order', 'one', 'heart', 'chest', 'unknown', 'traveling', 'novel', 'woman', 'mission', 'francis', 'year', 'time', 'struggles', 'coast', 'race', 'killed', 'cause', 'missile', 'arrow', 'murdered', 'years', 'attacks', 'make', 'dying', 'killing', 'day', 'weak', 'revealed', 'knowing', 'task', 'white', 'long', 'taken', 'formation', 'meet', 'crime', 'place', 'history', 'born', 'future', 'natural', 'left', 'population', 'deserted', 'man', 'chance', 'american', 'learning', 'old', 'stone', 'cover', 'en', 'death', 'disguise', 'relatives', 'north', 'poverty', 'kill', 'forward', 'way', 'reason', 'generation', 'saw', 'returned', 'disease', 'life', 'children', 'finding', 'european', 'ironic', 'wound', 'stands', 'observing', 'curiosity', 'new', 'wife', 'assignment', 'goes', 'save', 'twist', 'assassination', 'jim', 'far', 'human', 'attempt', 'nagging', 'many', 'chancellor', 'subjugation', 'desolate', 'return', 'native', 'change', 'genetics', 'better', 'doctor', 'people', 'must', 'spaceship', 'tribal', 'suspended', 'surgery', 'two', 'decision', 'al', 'stranded', 'earth']",4,['Romance']
8,Brian's Winter,"['family', 'bow', 'attacked', 'cree', 'still', 'learning', 'brian', 'help', 'around', 'winter', 'story', 'lake', 'fall', 'building', 'snow', 'attention', 'make', 'stranded', 'return', 'pay']",3,['Romance']
9,Magick Without Tears,"['end', 'addiction', 'topics', 'crowley', 'absent', 'students', 'religious', 'many', 'book', 'ethical', 'holy', 'mentally', 'individual', 'guardian', 'heroin', 'spiritual', 'evidence', 'issues', 'magical', 'orders', 'lucid', 'offer', 'letters', 'chronic', 'wit']",7,['Romance']
10,Chicka Chicka Boom Boom,"['capital', 'structure', 'like', 'toe', 'together', 'eye', 'jazz', 'full', 'relatives', 'audio', 'getting', 'book', 'rhyming', 'fall', 'scat', 'becoming', 'black', 'version', 'older', 'abc', 'climbing', 'improvisation', 'first', 'tree', 'knotted', 'loose', 'board', 'inspired', 'help', 'coconut', 'come', 'letters', 'stubbed', 'half', 'tooth']",10,['Romance']
11,Enigma,"['women', 'havoc', 'society', 'student', 'academic', 'forced', 'mate', 'nervous', 'alan', 'role', 'used', 'park', 'night', 'still', 'largest', 'along', 'jericho', 'pressure', 'back', 'colleagues', 'housing', 'second', 'battle', 'one', 'ancient', 'attractive', 'resemblance', 'washington', 'turf', 'allies', 'time', 'break', 'professor', 'times', 'signal', 'real', 'works', 'turing', 'emotionally', 'mathematician', 'papers', 'following', 'speed', 'school', 'opinion', 'war', 'british', 'germans', 'violation', 'internal', 'meet', 'young', 'leftist', 'win', 'breaking', 'organization', 'history', 'grim', 'shipping', 'invitation', 'operation', 'end', 'grounds', 'apart', 'tension', 'starts', 'college', 'american', 'strike', 'en', 'serious', 'clerk', 'fact', 'days', 'trip', 'officer', 'hut', 'rivalry', 'train', 'wallace', 'jealous', 'growing', 'wounded', 'series', 'code', 'atlantic', 'incident', 'reputation', 'wartime', 'german', 'little', 'though', 'wolf', 'see', 'naval', 'enigma', 'plot', 'winter', 'report', 'door', 'absent', 'many', 'book', 'security', 'cambridge', 'class', 'change', 'crossword', 'trust', 'people', 'route', 'investigator', 'romance', 'government', 'edge', 'two', 'room', 'chosen', 'cryptography', 'temporary', 'tips']",3,"['Procedural','Adventure']"
12,The Eternal Champion,"['century', 'humanity', 'women', 'use', 'virtue', 'lack', 'attack', 'hunting', 'escapes', 'trapped', 'mount', 'carrying', 'single', 'destroying', 'large', 'engaged', 'total', 'still', 'strange', 'lands', 'major', 'becomes', 'races', 'ending', 'directed', 'battle', 'threat', 'one', 'marries', 'rest', 'ancient', 'destroyed', 'resemblance', 'actions', 'continent', 'time', 'allies', 'want', 'world', 'struggles', 'vow', 'fleet', 'secretly', 'avatar', 'asleep', 'bound', 'siege', 'works', 'motivations', 'make', 'killing', 'war', 'nature', 'john', 'surviving', 'fallen', 'weapons', 'king', 'taken', 'keeping', 'kind', 'genocide', 'away', 'desperate', 'army', 'eternal', 'inhabitants', 'hiding', 'teleport', 'term', 'history', 'repeated', 'allegiance', 'help', 'made', 'demonic', 'narrated', 'tolkien', 'near', 'aging', 'kills', 'champion', 'seeking', 'relatives', 'relative', 'deadly', 'ghost', 'united', 'prince', 'survivors', 'worlds', 'force', 'kill', 'campaign', 'sack', 'daughter', 'way', 'destruction', 'stop', 'reason', 'sword', '20th', 'elves', 'last', 'troops', 'swear', 'heroes', 'wound', 'though', 'familiar', 'new', 'inhuman', 'course', 'color', 'save', 'see', 'city', 'naval', 'transition', 'fight', 'human', 'attempt', 'understanding', 'strength', 'stronghold', 'medieval', 'legendary', 'many', 'expedition', 'falls', 'determined', 'recognize', 'minor', 'return', 'sleep', 'sister', 'destroy', 'released', 'narrator', 'dreams', 'machines', 'rescue', 'story', 'power', 'makes', 'people', 'southern', 'must', 'saving', 'magical', 'defeat', 'come', 'nights', 'two', 'disturbed', 'dark', 'choice', 'love', 'real', 'beginning']",8,"['Procedural','Adventure']"
13,Green for Danger,"['killed', 'operation', 'like', 'unmask', 'attempt', 'revealing', 'whodunit', 'patient', 'found', 'another', 'head', 'death', 'ill', 'british', 'nurse', 'hospital', 'states', 'presence', 'order', 'one', 'rural', 'place', 'inspector', 'murder']",8.666666667,"['Procedural','Adventure']"
14,The Lost Language of Cranes,"['shave', 'see', 'room', 'big', 'man', 'bed', 'dorm', 'starts', 'needs', 'lives', 'derek', 'gay', 'old', 'broken', 'penn', 'experiences', 'apartment', 'sex', 'wrong', 'says', 'spurned', 'window', 'wake', 'another', 'philip', 'bar', 'talk', 'thing', 'soaked', 'someone', 'burger', 'eliot', 'getting', 'coming', 'days', 'back', 'mother', 'father', 'return', 'past', 'go', 'winston', 'king', 'cinema', 'one', 'going', 'way', 'acquaintance', 'drunk', 'comes', 'really', 'young', 'calls', 'childhood', 'flat', 'town', 'pornographic', 'son', 'hanging', 'research', 'account', 'friend', 'brad', 'place', 'child', 'foster', 'article', 'girls', 'call', 'time', 'rose', 'met', 'though', 'get', 'east', 'two', 'stay', 'lot', 'lost', 'half', 'remember', 'parents', 'goes']",3,"['Procedural','Adventure']"
15,The Space Merchants,"['climate', 'fit', 'ad', 'aggressive', 'far', 'colonists', 'human', 'harsh', 'mystery', 'thinking', 'businesses', 'basic', 'many', 'attract', 'states', 'becomes', 'generations', 'agency', 'overpopulated', 'venus', 'campaign', 'taken', 'survival', 'surface', 'advertising', 'change', 'political', 'life', 'place', 'water', 'characters', 'planet', 'public', 'lot', 'course', 'tale']",8,"['Procedural','Adventure']"
16,The Rag and Bone Shop,"['see', 'credible', 'like', 'room', 'end', 'interrogator', 'killed', 'twist', 'friends', 'ymca', 'old', 'riding', 'small', 'information', 'brother', 'dangling', 'told', 'begins', 'expecting', 'twelve', 'brutal', 'good', 'single', 'someone', 'innocent', 'death', 'role', 'point', 'girl', 'impossible', 'case', 'person', 'expert', 'confession', 'violent', 'jason', 'kill', 'seven', 'gives', 'science', 'butcher', 'one', 'believe', 'main', 'believes', 'position', 'novel', 'killer', 'woman', 'failed', 'older', 'taken', 'making', 'fighting', 'story', 'boy', 'quote', 'last', 'lonely', 'bulb', 'makes', 'knife', 'crime', 'suspect', 'friend', 'distorted', 'idea', 'maniac', 'year', 'fellow', 'tape', 'get', 'little', 'grabbing', 'interrogation', 'bully', 'murder', 'lot', 'lost', 'best', 'part', 'final', 'left']",8,"['Procedural','Adventure']"
17,1,"['humanity', 'pacific', 'hands', 'profession', 'society', 'distant', 'sir', 'previous', 'benefits', 'single', 'colonial', 'african', 'travels', 'pregnant', 'travel', 'back', 'take', 'involuntary', 'directed', 'second', 'controlled', 'order', 'one', 'heart', 'chest', 'unknown', 'traveling', 'novel', 'woman', 'mission', 'francis', 'year', 'time', 'struggles', 'coast', 'race', 'killed', 'cause', 'missile', 'arrow', 'murdered', 'years', 'attacks', 'make', 'dying', 'killing', 'day', 'weak', 'revealed', 'knowing', 'task', 'white', 'long', 'taken', 'formation', 'meet', 'crime', 'place', 'history', 'born', 'future', 'natural', 'left', 'population', 'deserted', 'man', 'chance', 'american', 'learning', 'old', 'stone', 'cover', 'en', 'death', 'disguise', 'relatives', 'north', 'poverty', 'kill', 'forward', 'way', 'reason', 'generation', 'saw', 'returned', 'disease', 'life', 'children', 'finding', 'european', 'ironic', 'wound', 'stands', 'observing', 'curiosity', 'new', 'wife', 'assignment', 'goes', 'save', 'twist', 'assassination', 'jim', 'far', 'human', 'attempt', 'nagging', 'many', 'chancellor', 'subjugation', 'desolate', 'return', 'native', 'change', 'genetics', 'better', 'doctor', 'people', 'must', 'spaceship', 'tribal', 'suspended', 'surgery', 'two', 'decision', 'al', 'stranded', 'earth']",4,['War']
18,2,"['family', 'bow', 'attacked', 'cree', 'still', 'learning', 'brian', 'help', 'around', 'winter', 'story', 'lake', 'fall', 'building', 'snow', 'attention', 'make', 'stranded', 'return', 'pay']",3,['War']
19,3,"['end', 'addiction', 'topics', 'crowley', 'absent', 'students', 'religious', 'many', 'book', 'ethical', 'holy', 'mentally', 'individual', 'guardian', 'heroin', 'spiritual', 'evidence', 'issues', 'magical', 'orders', 'lucid', 'offer', 'letters', 'chronic', 'wit']",7,['War']
20,4,"['capital', 'structure', 'like', 'toe', 'together', 'eye', 'jazz', 'full', 'relatives', 'audio', 'getting', 'book', 'rhyming', 'fall', 'scat', 'becoming', 'black', 'version', 'older', 'abc', 'climbing', 'improvisation', 'first', 'tree', 'knotted', 'loose', 'board', 'inspired', 'help', 'coconut', 'come', 'letters', 'stubbed', 'half', 'tooth']",10,['War']
